no		aptName		address_full	address_si (city)	address_gu	address_dong	address_detail	address_street	address_streetno									towers	units	contractor	developer	date_approval																					x	y	date_applied	year_approval	aptName_keys	gu_key	gu_trans	dong_key	dong_trans	streetname_key	streetname_trans	prompt_setup	result
15392	A10027205	아크로리버파크	아파트	서울특별시 서초구 신반포로15길 19	서울특별시	서초구	반포동	19	신반포로15길	19	234782904	234782905			임대+분양	위탁관리	혼합식	지역난방	15	1612	(주)대림산업	신반포1차재건축주택조합	2016-08-30 0:00:00	346883	155509	206183	323	687	495		www.acroriverpark.net/		2022-09-11 0:13:36		위탁	종합계약	위탁	13581	2973	의무	2017-03-03 14:08:12	Y	N	126.9932508	37.50489994	2017-02-10 14:40:13	2016	아크로 리버파크	서초	서리풀이 무성했던 곳	반포	물이 굽어 흐르는 곳	신반포	물이 굽어 흐르는 곳	아크로 리버파크 아파트는 서울시 서초구 반포동 신반포로15길에, 그러니까 서리풀이 무성했던 곳에 위치한, 물이 굽어 흐르는 곳이자 물이 굽어 흐르는 곳에 자리하고 있다.	\"내 집 앞에서 한강까지 산책할 수 있다면?\" 아크로 파크가 지어진지 벌써 10년째라는데 그 동안 반포 지역은 많이 변했고 또 변해왔지만 아직도 변하기를 거부하며 살았나보다. 여전히 많은 것들이 불편하지만 그래도 내집앞으로 푸른 잔디밭이나 나무숲 같은데서 뛰어 놀수있다는게 얼마나 좋은지 모르겠다. 가끔씩 아이들 데리고가는데 애아빠랑 둘만 가기도 하니까 말이다 ᄒᄉᄏ 아무튼 다시 본론! 우리 가족에게 딱 맞는다는건 바로 이런거였어요... (feat.우리가족) 거실뷰와 주방 뷰 그리고 안방 베란다쪽(안방베란다 쪽엔 빨래건조대가 설치되었음), 작은 방 하나 이렇게 3개가 다 붙어서 탁 트여있는 구조인데 거기에다가 큰 창 2개의 장점때문인지 채광이랑 환기가 아주 잘 되요.... 게다가 무엇 보다 마음에드는점!!! 저 멀리 남산타워 까지 보인다는 점!!!! 진짜 뻥 안치구 서울 시내 어디든 보이더라구요.. 그래서 더 만족스럽습니다
6661	A10027800	래미안 대치 팰리스	아파트	서울특별시 강남구 삼성로57길 37-3	서울	강남구	대치동	37	삼성로57길		25673303	25583303			임대+분양	위탁관리	계단식	지역난방	17	1608	삼성물산	청실아파트 재건축조합	2015-09-22 0:00:00	350168	154174	203391	54	447	1011		www.palaceapt.co.kr		2022-09-11 2:27:35		위탁	종합계약	위탁	11244.53	3117	의무	2016-05-23 9:57:06	Y	N	127.0583306	37.49717942	2016-03-29 16:58:33	2015	래미안 대치 팰리스	강남	강의 남쪽	대치	큰 고개 밑	삼성	세 마을이 하나로 이루어진 곳	래미안 대치 팰리스 아파트는 서울시 강남구 대치동 삼성로57길에, 그러니까 강의 남쪽에 위치한, 큰 고개 밑이자 세 마을이 하나로 이루어진 곳에 자리하고 있다.	\"우리 집은 너무 좁아요! 넓게 살고 싶어요~!!\"\"저희 아이가 아토피라서요... 공기 좋은데서 키우려고 이사 왔어요......;;; (후다닥) 아~~ 춥네요;; 겨울엔 창문 꼭꼭 닫아놓아야겠어요^^;(휘릭 휘리릭 휙휙~~~~!!!!!!!).... 음음,, 제 생각만 했나봐요 ᄏᄒᄉ1저도 모르겠습니다 ^^;; 우리집과 비슷하신 분들 많으시죠? ^^* 저두 저희 가족에게 딱 맞아서 참 행복해요♥ 감사합니다 ^0^/♡[EOS]
21961	A10025245	래미안퍼스트하이	아파트	서울특별시 성북구 한천로 713	서울	성북구	장위동	래미안장위퍼스트하이	한천로	713	29199074	29199076			임대+분양	위탁관리	계단식	개별난방	16	1562	서울	장위5구역주택재개발정비사업조합	2020-11-03 0:00:00	234586	114594	114594	660	756	146		www.firsthighapt.com	2019-10-18 2:34:00	2022-09-12 9:59:36		위탁	단일계약	위탁	11349.44	1911	의무	2019-10-21 13:02:45	Y	N	127.0504051	37.62051339	2019-10-18 2:34:00	2020	래미안 퍼스트 하이	성북	성곽의 북쪽	장위	노루가 살던 산 주변	한천	큰 물줄기 주변	래미안 퍼스트 하이 아파트는 서울시 성북구 장위동 한천로에, 그러니까 성곽의 북쪽에 위치한, 노루가 살던 산 주변이자 큰 물줄기 주변에 자리하고 있다.	\"모든 인간은 존엄하며 누구나 행복할 권리가 보장되어야 한다\"고 말이다(헌법 제10조). 모든 국민에게 균등히 토지를 분배하여 경제적 평등과 사회정의 실현으로 복지사회 건설로 나아가야 한다는 것도 같은 맥락에서 이해될 수 있겠다. 인간다운 삶이란 무엇인가? 우리 헌법 전문에도 \'우리들과 함께 생활능력 없는 노인\'이라고 표현된 바와 같이 국가로부터 보호받아야 할 대상으로서만 인식했지 그들이 주체로서 자신들의 문제해결 능력이나 의사결정권 등 자기 결정권의 행사 없이 단지 보호의 객체로서의 존재가치만이 인정된다면 이것이야 말로 진정 의미있는 일인지 의문스럽기 때문이기도 하다. 그래서 본 연구자는 이러한 물음으로부터 출발한다. 즉 현대화 과정 속에서 개인 또는 가족 단위의 다양성 추구라는 명목 하에 발생가능성이 높아진 새로운 형태의 빈곤문제 해결방안 모색 차원이라 보면 될 듯하다. 그리고 현재 한국 상황 내에서 가장 대표적인 주거형태라 볼수있으며 앞으로 더욱 증가해 갈것임 예상된다.
40023	A10025070	보라매 sk뷰	아파트	서울특별시 영등포구 여의대방로35가길 19	서울	영등포구	신길동		여의대방로35가길	19	28499322	28499324			임대+분양	위탁관리	혼합식	개별난방	18	1546	sk건설	신길5재정비촉진구역 주택재개발정비사업조합	2020-01-29 0:00:00	232142	113845	154512	650	789	105			2020-02-05 4:58:43	2022-09-12 22:10:16		위탁	종합계약	위탁	10951	1868	의무	2020-02-05 4:58:43	Y	N	126.9151097	37.5011629	2020-02-05 4:58:43	2020	보라매 SK뷰	영등포	영등굿을 하던 포구	신길	새로 생긴 마을	여의대방	여의도를 지나는 길	보라매 SK뷰 아파트는 서울시 영등포구 신길동 여의대방로35가길에, 그러니까 영등굿을 하던 포구에 위치한, 새로 생긴 마을이자 여의도를 지나는 길에 자리하고 있다.	작이다! 제목에서 알 수 있듯이 보라매SK뷰아파트(이하 \'보래미안\')라는 곳은 우리에게 익숙하지 않지만 서울 사람들에겐 매우 친숙할 것 같다는 생각도 들었는데 그 이유인즉슨 보면 바로 아~ 거기? 할 정도일 듯 싶기 때문인데 그래서 그런지 이번 작품 역시 신선했다고나 할까?! ᄒᄉᄂ 그리고 무엇보다 내 마음 속 1등으로 자리매김해버린 배우님들이 나오셔서 더 좋았다지♥ (참고 - 실제 인물들의 이야기라 극 중 대사와 행동 등이 조금씩 다를 수도 있음 주의!!) 그럼 본격적으로 시작해본다아~~!!! #1. 줄거리 및 등장인물 소개 <출처; 네이버> \"엄마 나 오늘 늦게 들어올거야\"라고 말하면 절대 안되요오옹 엄마랑 아빠한테 혼나거든요.. ᅲᅳᅮ 하지만 제 동생 하늘이가 이렇게 약속시간 어기면서까지 어디론가 가려고 했을까요?? 그건 다름아닌... 친구 생일파티였답니다!!!! 그런데 하필 왜 저 날따라 비가와가지구.... 어쩔수없이 지하철타고 가야만했어요;; 근데 어쩌겠어요;;;
40160	A10024426	마곡엠밸리9단지	아파트	서울특별시 강서구 공항대로 103	서울	강서구	마곡동		공항대로	103	226662806	226662808			임대+분양	위탁관리	혼합식	지역난방	19	1529	한신공영	SH공사	2021-02-15 0:00:00	217527	99426	217527	1000	529	0		mvalley9.com	2021-02-23 14:01:34	2022-09-12 18:29:54		위탁	종합계약	위탁	20131.7	1765	의무	2021-02-24 11:06:31	Y	N	126.818592	37.561735	2021-02-24 10:09:20	2021	마곡 엠밸리 9단지	강서	강의 서쪽	마곡	삼을 많이 심었던 곳	공항	김포공항으로 가는 길	마곡 엠밸리 9단지 아파트는 서울시 강서구 마곡동 공항대로에, 그러니까 강의 서쪽에 위치한, 삼을 많이 심었던 곳이자 김포공항으로 가는 길에 자리하고 있다.	\"저에게 마곡은 제가 좋아하거나 잘하게 되고 싶어 하는 것들 모두와 관련된 특별함입니다\" (강서청소년회관) 꿈꾸라! 꿈꾸자! 우리들의 이야기- \'우리\'라는 말처럼 따뜻하지만 또 그만큼 어려운 단어이기도 하다. 내 주변에서 일어나지 않았으면 하지만 그렇다고 해서 나도 모르지만 일어날 수밖에 없다는 생각 때문이다. 그런데 여기 청소년들이 모여 그 어렵고도 소중할 수도 있는 일상의 삶 속 작은 행복이나 즐거움 또는 슬픔 등 다양한 감정까지 공유해내고자 한다니 참 놀랍기도 했으며 한편으론 대견스럽기 까지 한 모습이라 할 수가 잇겠다. 사실 어른인 필자 역시 그러했는데 하물며 아직 어린 아이들인 경우야 오죽할까? 특히나 요즘 같이 개인주의적 성향이 짙어지며 자기중심적인 사고 방식 등이 많아지면서 더더욱 그런 경향성이 높아져만 간다. 그러나 이런 상황속에서조차 서로간의 소통이라든가 공감이란 부분은 여전히 중요성 내지 필요성의 가치로서 인식되어야 함에도 불구하고 현실에선 그다지 쉽지가 않아 보인다.
40096	A10024741	사가정 센트럴 아이파크 아파트	아파트	서울특별시 중랑구 동일로92길 40	서울	중랑구	면목동		동일로92길	40	24339240	24359240			임대+분양	위탁관리	혼합식	개별난방	11	1505	현대산업개발	면목3주택 재건축정비사업조합	2020-07-30 0:00:00	244759	120894	162602	378	1040	87			2020-08-05 4:48:57	2022-09-12 7:25:58	92023637071	위탁	단일계약	위탁	10036874	2076	의무	2020-08-10 13:13:34	Y	N	127.081924	37.582679	2020-08-09 10:27:13	2020	사가정 센트럴 아이파크	중랑	들판을 가로지르는 물가	면목	말목장 앞	동일	동쪽 길	사가정 센트럴 아이파크 아파트는 서울시 중랑구 면목동 동일로92길에, 그러니까 들판을 가로지르는 물가에 위치한, 말목장 앞이자 동쪽 길에 자리하고 있다.	<면목동의 비둘기>가 출간되었다는 소식이다! 면목역에서 가까운 곳으로 지하철 7호선 용마산역도 가깝게 이용할 수 있으며 자가용이나 버스 등 대중교통수단 모두 편리하다고 한다. 그런데 나에게 가장 중요했던 것은 바로 \'교통\'보다 더 큰 이유였는데 그것인즉슨... \"책 속에도 나와있지만 책 제목이기도 한\"비둘기\"\"라는 단어 때문인데 그 비둘기가 왜 그렇게 내 마음 깊이 와닿았는지 모르겠다 ᅲᅳᅮ (왜지?) 그래서 오늘 포스팅 주제 또한 [비]와 관련된 이야기이니만큼 이번 글 역시 다소 무거운 내용일 수도..ᄒ 하지만 그럼에도 불구하고 읽어보면 좋겠다는 생각이 들기도 하니 일단 시작해보자!! ᄏ_ᄋ/ 1부 - 서울 변두리 동네 / 2-1편(소설집),2장~3장의 단편들 중 일부 발췌 우리 집 식구들이 살기 위해 마련해야 할 주거 공간 문제나 아이들의 교육문제 등등 이런저런 걱정 없이 그저 평화롭기만 했으면 싶은데 실상 그렇지가 않으니 답답함만 가득해진다.
40167	A10024398	래미안 목동아델리체	아파트	서울특별시 양천구 중앙로43길 14	서울	양천구	신정동		중앙로43길	14	226948400	226948402			임대+분양	위탁관리	혼합식	지역난방	23	1497	삼성물산(주)	신정2재정비촉진구역1지구 주택재개발정비사업조합	2021-01-28 0:00:00	244199	113066	153037	550	848	99			2021-03-05 8:20:04	2022-09-12 16:47:20		위탁	종합계약	위탁	13572540	2026	의무	2021-03-18 15:25:18	Y	N	126.851496	37.518826	2021-03-18 15:10:14	2021	래미안 목동 아델리체	양천	볕이 드는 개울	신정	새 우물이 있던 곳	중앙	번화가의 중심	래미안 목동 아델리체 아파트는 서울시 양천구 신정동 중앙로43길에, 그러니까 볕이 드는 개울에 위치한, 새 우물이 있던 곳이자 번화가의 중심에 자리하고 있다.	<아델 리체의 봄>을 썼습니다. \'아파트\'라는 공간은 우리에게 어떤 의미일까요? 사실 저도 잘 모르겠지만요...(웃음) 예전부터 생각해왔는데 요즘 들어 부쩍 그 질문들 때문인지 더 궁금해졌어요. 그래서 오늘 인터뷰 기사에서 이런 이야기가 나왔네요! \"요즘 사람들이 살기 좋다고 느끼게 하려면 어떻게 해야 할까\"라고 말입니다. (『한겨레』 2018년 5월 12일 자 김현대 기자 칼럼 「[김현대의 세상읽기기] 아델라체가 되어줄래요」 중 일부 발췌함 / 『경향신문』 2019-01-19자 1면 이미지 인용/ 이하 본문 내용) Q1. 안녕하세요. 우선 간단한 자기소개 부탁드립니다~ A2. 네네 반갑습니당^^* 제 소개를 먼저 할게요 ᄒᄉᄋ// 서울대학교 환경대학원 도시계획학 석사과정 재학 중인 학생인데요.. 지금 현재 휴학 중이에요ᅲ_ᅮ!! 그리고 또 한 가지 말씀드리자면 전 원래 다른 지역 출신인데 부모님께서 이사오신 동네라서 이곳으로 오게 됐구요~~
40123	A10024615	힐스테이트클래시안아파트	아파트	서울특별시 영등포구 신길로28길 9	서울	영등포구	신길동		신길로28길	9	28339266	28339267			임대+분양	위탁관리	혼합식	개별난방	14	1476	현대건설	신길9구역 주택재개발정비사업조합	2020-12-28 0:00:00	209893	95367	131995	1028	424	24		classyan.aptner.com	2020-10-14 6:31:08	2022-09-12 22:12:31		위탁	종합계약	위탁	9004.63	1777	기타	2020-10-15 16:43:21	Y	N	126.912117	37.503998	2020-10-15 16:41:08	2020	힐스테이트 클래시안	영등포	영등굿을 하던 포구	신길	새로 생긴 마을	신길	새로 생긴 마을	힐스테이트 클래시안 아파트는 서울시 영등포구 신길동 신길로28길에, 그러니까 영등굿을 하던 포구에 위치한, 새로 생긴 마을에 자리하고 있다.	\"우리 가족 모두가 함께 살 수있는 집에서 행복하게 살아가고 싶습니다\" 현대건설은 지난 3월 14일부터 4일간 경기도 수원 광교신도시 내 \'광교 힐스테이트 레이크\' 모델하우스를 열었는데 오픈 첫날 오전 10시 이전까지 약 1만여 명의 방문객들이 몰려 북새통을 이뤘다고 밝혔는데요~ 특히 주말 동안 이어진 비소식에도 불구하고 고객들의 발길이 이어졌다는 것입니다! 현대건설 관계자들도 예상보다 많아진 인파 때문인지 당황했지만 뜨거운 관심 속에 성공적인 분양 마감으로 화답할수있어 만족스럽다며 함박웃음을 지어보았답니다^^ 그럼 지금 부터 그 현장속으로 들어가볼까요? GOGO!! 우선 이곳은 어디일까요?? 네 맞아요~~ 바로 서울 영등포구의 새로운 주거중심지로 떠오르며 신흥 부촌(富村)으 로 각광받기 시작중인 곳인데요...바로 그곳엔 현재 현대 건설 힐스라는 브랜드 네임을걸치고 선보이 는 첫번째 단지이자 새아파트로서 큰 기대와 주목 받으며 성황리에 청약마감된곳이기도 합니다.... 자 그러면 본격적 으로 살펴볼까요??? 먼저 외관 이미지 입니다.
4983	A15721006	마곡엠밸리6단지	아파트	서울특별시 강서구 마곡서1로 100	서울	강서구	마곡동	마곡엠밸리6단지	마곡서1로	100	236657235	236657237			임대+분양	위탁관리	혼합식	지역난방	19	1466	경남기업(주)	서울특별시 SH공사	2014-06-12 0:00:00	225423	111737	225422	675	588	203		cafe.naver.com/mmv6		2022-09-12 18:23:37		위탁	종합계약	위탁	19086.42	1822	의무	2016-11-10 16:16:57	Y	N	126.8201689	37.56465052	2015-02-11 10:54:13	2014	마곡 엠밸리 6단지	강서	강의 서쪽	마곡	삼을 많이 심었던 곳	마곡	삼을 많이 심었던 곳	마곡 엠밸리 6단지 아파트는 서울시 강서구 마곡동 마곡서1로에, 그러니까 강의 서쪽에 위치한, 삼을 많이 심었던 곳에 자리하고 있다.	<삼층집>(김중미)은 작가가 직접 겪어본 이야기들 중에서 골랐다고 한다. 그중 하나만 소개하자면 이렇다. \"내가 살았다던 집 근처엔 큰길도 없어서 버스나 택시 같은 대중교통 수단으로 출퇴근할 수가 없어요......그래서 우리 식구들이 다 같이 차 끌구 다녔거든요? 근데 어느 날인가부터 차가 안 다니더라구요!\" (본문 p7~p8 인용). 그렇다면 \'강서쪽\'이란 말 때문일까 아니면 서울 변두리라는 느낌 탓일까. 나로선 딱히 그런 이유라고 생각되지 않는다. 왜냐하면 내 고향 또한 강서의 끝자락이기 때문이다. 하지만 이런저런 까닭인지 몰라도 소설가에게 익숙했다는 이유로 이곳에 대한 책 제목까지 정했으니 그냥 넘어갈 수야 없겠는데...어쨌거나 지금으로부터 약 20년 전쯤 되려나 싶은데 그때 난 한 가지 사실을 알게 됐단다. 그것인즉슨 당시 나의 아버지께서 그곳 부근 동네 사람들의 온갖 궂궂음 속에도 꿋꿋히 버티며 농사짓듯 글쓰기에 전념하시더니 마침내 그해 겨울엔가 중편소설 『너와 함께 걷기 위하여』란 작품으로...
40191	A10024240	서초그랑자이	아파트	서울특별시 서초구 효령로 391	서울	서초구	서초동		효령로	391	25229934	25229924			임대+분양	위탁관리	혼합식	지역난방	9	1446	지에스건설(주)	서초무지개아파트재건축조합	2021-06-29 0:00:00	286625	121758	161284	436	520	487			2021-09-29 17:54:13	2022-09-11 1:05:56		위탁	종합계약	위탁	8456.2	2886	의무	2021-09-30 11:20:22	Y	N	127.025992	37.489133	2021-09-30 11:20:00	2021	서초 그랑 자이	서초	서리풀이 무성했던 곳	서초	서리풀이 무성했던 곳	효령	효령대군의 묘가 있는 길	서초 그랑 자이 아파트는 서울시 서초구 서초동 효령로에, 그러니까 서리풀이 무성했던 곳에 위치한, 서리풀이 무성했던 곳이자 효령대군의 묘가 있는 길에 자리하고 있다.	『거룩하다는 것』을 읽었는데 제목은 거룩함인데 내용인즉슨 우리 집 이야기였기 때문이다. 나에게도 이런 일들이 일어날 수 있구나 하며 책 속으로 들어가 보자! (책 소개) \"나한테 왜 이러세요?\"라고 묻는다면 작가님께서 대답해주실 거예요. - p19-20 \'작가의 말\' 중에서 내 안에도 그런 존재와 마주할 때마다 움찔거리게 만드는 무엇인가가 살아서 꿈틀거렸으면 좋겠다 생각했었어요. 그런데 그 꿈틀거리다가 어느 순간 사라지면 어쩌지 걱정했어요. 그래서 저자는 자신 안의 어떤 모습들과의 만남을 두려워하면 그것 또한 죄라는 걸 알았다고 해요. 그리고 이것조차 하나님께 맡기면서 나아가기로 했답니다. 저자처럼 제 마음 속의 소리와도 만나야겠지요...^^;(p23~24쪽) 아버지 어머니 죄송합니다......죄송해요......어머니 미안해서 어떡해야 할지 모르겠어요.......미안하지만 어쩔 수가 없네요........아버지.......저 이렇게 살아있습니다....이렇게 사랑받으며 살아가요....그리고 이제부터라도 열심히 살아갈게요
3601	A13113008	신내우디안1단지	아파트	서울특별시 중랑구 신내역로1길 85	서울	중랑구	신내동	816	신내역로1길	85	24969683	24969685	4		임대+분양	위탁관리	혼합식	개별난방	16	1402	한신공영(주)	SH공사	2014-06-18 0:00:00	190866	93849	189997	808	504	90				2022-09-12 8:28:20	2048279333	위탁	종합계약	위탁	14171	1568	의무	2015-09-09 15:30:27	Y	N	127.1067198	37.6188699	2014-09-01 13:05:03	2014	신내 우디안 1단지	중랑	들판을 가로지르는 물가	신내	새로이 성립된 마을	신내	새로이 성립된 마을	신내 우디안 1단지 아파트는 서울시 중랑구 신내동 신내역로1길에, 그러니까 들판을 가로지르는 물가에 위치한, 새로이 성립된 마을에 자리하고 있다.	내가 살고 싶은 삶의 형태를 그림으로 표현한다면 아마도 이런 것일 테지? \'아이들에게 좋은 기억만 남게 하기\' 아이들이 자라면서 행복하기만 한 인생은 없겠지만 그래도 우리 가족처럼 항상 웃음소리가 끊이지 않았으면 한다. 그래서 주변에서 보면 부모님과 사이도 안좋은데 그런 집보다는 화목해 보이는데 왜 그런지 모르겠다고 말할 때마다 마음 한구석이 아려온다(언젠가 아버지와 다툼 후 어머니께서 \"내가 당신한테 잘 못해서 그러냐\"라는 말씀에도 가슴 아팠던 적...). 모든 가정사야 다 힘들텐데 그중 가장 힘든 점은 바로 매일매일 반복되어지곤 했던 싸움이다.. 특히나 오늘 같은 경우엔 아버지께선 정말 화가 많이 나셨는지 거의 이성을 잃으신 듯했기에 더 그랬었던 거 같기도 하다;; 물론 그럼에도 불구하고 엄마아빠 모두 서로 사랑하시며 지금까지 지내오시긴 했으나 역시 어른들의 세계란 게 쉽지만은 않아 보인다; 어쨌거나 그렇게 싸우다가 어느 순간부터인가 우린 대화 자체를 하지않았었더랬다-_- 그저 TV 속 드라마 속의 상황극에나 몰두했었으니 ;ᄆ;;;
6401	A10027920	텐즈힐1단지	아파트	서울특별시 성동구 무학로 33	서울	성동구	하왕십리동	33 텐즈힐1단지	무학로	33	222913391	222913394	2315	FILE_000000000173807	분양	위탁관리	계단식	개별난방	18	1369	gs건설삼성건설대림현대산업	조합	2015-04-24 0:00:00	252495	129090	164364	172	857	204				2022-09-12 4:59:04		위탁	종합계약	위탁	14533.74	2055	의무	2015-11-25 15:41:43	Y	N	127.0295235	37.56734381	2015-11-10 14:03:13	2015	텐즈힐 1단지	성동	성곽의 동쪽	하왕십리	도성으로 부터 10리 떨어진 곳	무학	조선 초 무학대사가 왕래했던 길	텐즈힐 1단지 아파트는 서울시 성동구 하왕십리동 무학로에, 그러니까 성곽의 동쪽에 위치한, 도성으로 부터 10리 떨어진 곳이자 조선 초 무학대사가 왕래했던 길에 자리하고 있다.	\"나만의 별장이 생기면 좋겠어요\" (성동구청) [인터뷰] \'별장\' 갖고 싶다는 9살 아이들...아파트서 꿈 키워요 ▲ 서울숲에서 바라본 왕십리뉴타운 전경 c 권우성 관련사진보기 지난 7월 말 저녁 8시께 찾아간 성동구의 한 공원은 밤이 되자 더욱 활기를 띠었습니다. 놀이터마다 동네 꼬마들이 모여들어 술래잡기 놀이 등 신나게 뛰어놉니다. 모래밭 위에선 엄마 손 잡고가며 뛰노느라 정신 없고요. 한쪽엔 텐트 수십 동이 설치돼있어 가족 단위 나들이객들의 휴식처 역할도 합니다. 이날 이곳 야외무대 앞 벤치와 잔디밭 곳곳에도 삼삼오오 모인 사람들이 이야기꽃을 피우거나 스마트폰 게임 삼매경입니다. 바로 옆 돗자리 대여소 주변으론 서너 명의 아주머니 아저씨들이 둘러앉아 담소 중입니다. 그 중 가장 어린 초등학생쯤 돼 보이는 남자아이 둘에게 다가갔어요. 두 녀석 모두 얼굴 가득 호기심어린 표정이어서 인터뷰하기에 부담없겠더군요(웃음). - 너희 여기 처음 와봤니? 어디 놀러 왔는데 재미있지 않았을까봐~ \"
18161	A10026881	서울역센트럴자이아파트	아파트	서울특별시 중구 만리재로 175	서울	중구	만리동2가	서울특별시 중구 만리재로175	만리재로	175	23629951	23629952			임대+분양	위탁관리	혼합식	개별난방	14	1341	GS건설주식회사	만리제2지구재개발 정비사업주택조합	2017-08-07 0:00:00	186288	91297	125964	641	681	19		sscxi.ezville.net/	2017-08-21 20:12:17	2022-09-12 4:25:03		위탁	종합계약	위탁	10187.72	1547	의무	2019-05-03 11:55:04	Y	N	126.9630956	37.55460908	2017-08-21 20:12:17	2017	서울역 센트럴 자이	중	서울의 가운데	만리	학자 최만리가 살던 곳	만리재	학자 최만리가 살던 곳	서울역 센트럴 자이 아파트는 서울시 중구 만리동2가 만리재로에, 그러니까 서울의 가운데에 위치한, 학자 최만리가 살던 곳이자 학자 최만리가 살던 곳에 자리하고 있다.	\"제1회 서울역센트럴자이 어린이 합창대회\"(이하 \'합창\')에서 대상으로 선정된 것이다! 최만리 동상 앞은 대회 시작 전부터 많은 사람들에게 관심 받았는데 그 이유 중 하나인 바로 위 사진 속 인물 때문이다! 그리고 우리나라 최초라는 수식어가 붙어있는 국제어린이합창단이기도 하다 (사진 출처 - http://www.seoulmetrozipfesta2015). 아이들이 입고 온 옷도 그렇거니와 표정이나 동작 등 모든 면에서 어른들의 그것보다 훨씬 더 순수해보이기까지 한다 :D 하지만 여기서 끝난 게 아니었으니...!! 1등하신 분께서 2등도 하셨다는 사실!!! 그래서 다시 한 번 축하드리며.. :)[EOS]
6482	A10027985	LH강남힐스테이트아파트	아파트	서울특별시 강남구 자곡로3길 21	서울	강남구	자곡동	LH강남힐스테이트	자곡로3길	21	234125678	234124300			임대+분양	위탁관리	복도식	지역난방	5	1339	현대건설	한국토지공사	2015-06-02 0:00:00	179904	87224	179379	789	550	0				2022-09-11 2:53:27	91507728321	위탁	단일계약	위탁	20386.13	1590	의무	2017-11-24 14:49:47	Y	N	127.0896083	37.47180842	2015-12-03 11:24:43	2015	LH 강남 힐스테이트	강남	강의 남쪽	자곡	암말을 기르며 묘 앞에 연못이 있던 마을	자곡	암말을 기르며 묘 앞에 연못이 있던 마을	LH 강남 힐스테이트 아파트는 서울시 강남구 자곡동 자곡로3길에, 그러니까 강의 남쪽에 위치한, 암말을 기르며 묘 앞에 연못이 있던 마을에 자리하고 있다.	엄마와 딸(김행숙)가 나오는데 제목으로도 그렇듯이 시인은 어머니와의 일화들에서 그것들의 의미나 본질 등을 유추해내어 자신만의 시각적 이미지화 즉 시의 형식 안에다 그려넣는다. 그중 세번째 이야기 \'엄마\' 에 이런 부분들이 나온다 \"그이가 죽었다는 말 들으셨어요?\" 나직하게 묻자 그녀 또한 소리없이 고개만 끄덕였다고 한다 그러나 이상했단다. 병원에도 가지 않았다니요 내키지 않아 하면서 그녀에게 물었었지만 그녀는 아무 대답 없이 그저 웃기만한 채였으니까... 왜 그랬을까 그렇게 오래도록 침묵 속엔 어떤 표정이란 것 자체로부터 멀어져야 했기 때문일까? 우리 집까지 오려면 아직 한참이나 더 가야할 텐데...... 버스정류장엘 앉아있어도 오지않음 직한데 지금쯤 올 때면 됐으련만 기다리기가 지루해서 전화라도 해볼까 싶다가 이내 그만두곤 했었지 그런 일상의 반복 중 어느 날인가부터 자주 보이지않던 딸아이에게서 소식조차 없더라는 거겠거니 생각했었네
19140	A10026418	e편한세상금호파크힐스	아파트	서울특별시 성동구 금호로 140	서울	성동구	금호동1가	관리사무소	금호로	140	222929168	222929166			임대+분양	위탁관리	계단식	개별난방	17	1330	대림산업	금호제15구역주택재개발정비사업조합	2019-05-09 0:00:00	195524	95462	130787	654	616	60			2018-03-23 20:40:11	2022-09-12 5:20:28		위탁	종합계약	위탁	10307.26	1547	의무	2018-04-18 17:05:29	Y	N	127.021504	37.55406543	2018-03-23 20:40:11	2019	e편한세상 금호 파크힐스	성동	성곽의 동쪽	금호	대장간이 많았던 곳	금호	대장간이 많았던 곳	e편한세상 금호 파크힐스 아파트는 서울시 성동구 금호동1가 금호로에, 그러니까 성곽의 동쪽에 위치한, 대장간이 많았던 곳에 자리하고 있다.	<아파트와 대장장이>(전2권)을 읽었는데 그 중에서도 가장 흥미로운 이야기는 바로 \'대장간\'이다. 요즘은 거의 사라져버렸지만 대장간이란 예전부터 우리에게 친숙했기에 작가는 이런 옛 모습들을 잘 되살려내서 독자들이 마치 실제 그곳으로 여행이라도 간 것 같은 느낌마저 들게 한다. 먼저 첫번째 권. 제목 그대로 아주 옛날이야기처럼 시작된다. \"나보다 다섯 살 적어 보이시죠?\" 나직하지만 힘있고도 단호하며 위엄있는 목소리였어요! 내 눈에도 아버지 얼굴엔 빛바랜 세월이 묻어났지요... - p6~7- 처음 부분만 보면 그냥 시골마을 풍경같은데 이어지면서 점점 흥미진진해진다. 사실 이 책 속 등장인물들의 나이대가 모두 다 나와 비슷해서 그런지 더 생생했을지도 모르겠다..ᄒ 그리고 두 번 째 권의 차례인데 여기서부터 조금씩 긴장감이 고조되기 때문인지 왠지 분위기 전환된것 처럼 느껴진다....^^; 역시 마찬가지구요~~!! ᄏ 이렇게 한 페이지마다 내용소개글이 나온다.
